"synset","rating","words__-","words"
"793426","0.0","associate",""
"13780719","0.0","","relationship"
"","","","human relationship"
"2475855","0.0","united",""
"1972479","0.0","kindred",""
"1672014","0.0","","knit"
"","","","entwine"
"1410036","0.0","like-minded",""
"2480631","0.0","chambered",""
"386676","0.0","","schism"
"","","","split"
"6764867","0.0","","cross-reference"
"","","","cross-index"
"2117464","0.0","","extraneous"
"","","","foreign"
"1999798","0.0","","lead"
"","","","take"
"","","","direct"
"","","","conduct"
"","","","guide"
"7222823","0.0","","relation"
"","","","telling"
"","","","recounting"
"563648","0.0","conjunctive",""
"5920272","0.0","","theme"
"","","","motif"
"343334","0.0","","recur"
"","","","repeat"
"2730326","0.0","","run into"
"","","","encounter"
"46339","0.0","","accommodative"
"","","","reconciling"
"2483564","0.0","","draw"
"","","","quarter"
"","","","draw and quarter"
"7417298","0.0","conjuncture",""
"1085098","0.0","","parcel"
"","","","portion"
"","","","share"
"212974","0.0","","sporadically"
"","","","periodically"
"1730799","0.0","","choir"
"","","","chorus"
"255741","0.0","hierarchically",""
"1517632","0.0","combatant",""
"370597","0.0","comparably",""
"7148192","0.0","","negotiation"
"","","","dialogue"
"","","","talks"
"5158619","0.0","","superiority"
"","","","favorable position"
"","","","favourable position"
"1089285","0.0","","team"
"","","","team up"
"1517662","0.0","","intertwine"
"","","","twine"
"","","","entwine"
"","","","enlace"
"","","","interlace"
"","","","lace"
"2720149","0.0","","follow"
"","","","fall out"
"1736883","0.0","","tolerant"
"","","","patient of"
"13812607","0.0","","kinship"
"","","","family relationship"
"","","","relationship"
"187228","0.0","correspondingly",""
"1389329","0.0","","compress"
"","","","compact"
"","","","pack together"
"4751305","0.0","","diverseness"
"","","","diversity"
"","","","multifariousness"
"","","","variety"
"2294179","0.0","","share"
"","","","divvy up"
"","","","portion out"
"","","","apportion"
"","","","deal"
"7375405","0.0","blend",""
"5085867","0.0","","proximity"
"","","","propinquity"
"901103","0.0","","introduce"
"","","","present"
"","","","acquaint"
"2205887","0.0","","take back"
"","","","repossess"
"662589","0.0","","see"
"","","","check"
"","","","insure"
"","","","see to it"
"","","","ensure"
"","","","control"
"","","","ascertain"
"","","","assure"
"1818680","0.0","","antagonistic"
"","","","counter"
"592001","0.0","discipleship",""
"1082061","0.0","affiliation",""
"2217241","0.0","","double"
"","","","doubled"
"","","","twofold"
"","","","two-fold"
"6322693","0.0","","comparative"
"","","","comparative degree"
"14997393","0.0","precipitant",""
"2025009","0.0","","cluster"
"","","","constellate"
"","","","flock"
"","","","clump"
"380881","0.0","","confluence"
"","","","conflux"
"","","","merging"
"2659358","0.0","","twin"
"","","","duplicate"
"","","","parallel"
"1486704","0.0","","coordinated"
"","","","co-ordinated"
"","","","matching"
"5931341","0.0","gestalt",""
"7290761","0.0","","eventuality"
"","","","contingency"
"","","","contingence"
"196485","0.0","","substitution"
"","","","exchange"
"","","","commutation"
"892773","0.0","","mismatched"
"","","","uneven"
"735571","0.0","","arrange"
"","","","set up"
"","","","put"
"","","","order"
"7321387","0.0","transmigration",""
"231252","0.0","worse",""
"2716165","0.0","","attach to"
"","","","accompany"
"","","","come with"
"","","","go with"
"384802","0.0","dissociation",""
"8434259","0.0","","network"
"","","","web"
"1789514","0.0","","harass"
"","","","hassle"
"","","","harry"
"","","","chivy"
"","","","chivvy"
"","","","chevy"
"","","","chevvy"
"","","","beset"
"","","","plague"
"","","","molest"
"","","","provoke"
"5830527","0.0","nuisance",""
"2678287","0.0","","entangle"
"","","","mire"
"2676054","0.0","","refer"
"","","","pertain"
"","","","relate"
"","","","concern"
"","","","come to"
"","","","bear on"
"","","","touch"
"","","","touch on"
"","","","have-to doe with"
"5063853","0.0","directionality",""
"14427408","0.0","embrace",""
"1291069","0.0","","join"
"","","","conjoin"
"7951464","0.0","","collection"
"","","","aggregation"
"","","","accumulation"
"","","","assemblage"
"259382","0.0","total",""
"1974451","0.0","corresponding",""
"1297813","0.0","","uncouple"
"","","","decouple"
"2353707","0.0","","assisted"
"","","","aided"
"672277","0.0","judge",""
"2387486","0.0","educate",""
"1084486","0.0","","congested"
"","","","engorged"
"841986","0.0","","denounce"
"","","","tell on"
"","","","betray"
"","","","give away"
"","","","rat"
"","","","grass"
"","","","shit"
"","","","shop"
"","","","snitch"
"","","","stag"
"4164989","0.0","","section"
"","","","segment"
"8377085","0.0","","course"
"","","","line"
"262703","0.0","","patch"
"","","","patch up"
"208749","0.0","","layered"
"","","","superimposed"
"4752221","0.0","inequality",""
"1849221","0.0","","come"
"","","","come up"
"720063","0.0","","expect"
"","","","look"
"","","","await"
"","","","wait"
"216216","0.0","","drench"
"","","","douse"
"","","","dowse"
"","","","soak"
"","","","sop"
"","","","souse"
"5719958","0.0","","fundamental"
"","","","fundamental frequency"
"","","","first harmonic"
"13860281","0.0","","implication"
"","","","logical implication"
"","","","conditional relation"
"596644","0.0","","know"
"","","","experience"
"","","","live"
"1239868","0.0","commitment",""
"3416329","0.0","","gap"
"","","","crack"
"1968165","0.0","","daily"
"","","","day-to-day"
"","","","day-by-day"
"","","","day-after-day"
"560293","0.0","","rush"
"","","","rushing"
"7324380","0.0","","genesis"
"","","","generation"
"320284","0.0","","trailing"
"","","","tracking"
"7144416","0.0","","huddle"
"","","","powwow"
"14419164","0.0","","connection"
"","","","link"
"","","","connectedness"
"1237415","0.0","","consolidation"
"","","","integration"
"1568684","0.0","","global"
"","","","planetary"
"","","","world"
"","","","worldwide"
"","","","world-wide"
"2660442","0.0","","coincide"
"","","","co-occur"
"","","","cooccur"
"83585","0.0","","inheritance"
"","","","heritage"
"860136","0.0","","lighten"
"","","","lighten up"
"","","","buoy up"
"2690384","0.0","","range"
"","","","straddle"
"103194","0.0","","initially"
"","","","ab initio"
"223500","0.0","weaken",""
"578733","0.0","recommend",""
"2828648","0.0","","beltway"
"","","","bypass"
"","","","ring road"
"","","","ringway"
"2499312","0.0","","expatriate"
"","","","deport"
"","","","exile"
"1369758","0.0","","break"
"","","","bust"
"1201856","0.0","","swallow"
"","","","get down"
"138060","0.0","","similarly"
"","","","likewise"
"2679012","0.0","","qualify"
"","","","measure up"
"686447","0.0","accept",""
"1742912","0.0","","stormy"
"","","","tempestuous"
"1649024","0.0","","engender"
"","","","breed"
"","","","spawn"
"2110447","0.0","","detached"
"","","","isolated"
"","","","separated"
"","","","set-apart"
"5843236","0.0","","perpendicular"
"","","","perpendicular style"
"","","","English-Gothic"
"","","","English-Gothic architecture"
"3521076","0.0","","hinge"
"","","","flexible joint"
"2001858","0.0","","chase"
"","","","chase after"
"","","","trail"
"","","","tail"
"","","","tag"
"","","","give chase"
"","","","dog"
"","","","go after"
"","","","track"
"1065115","0.0","","introduce"
"","","","bring out"
"7176243","0.0","","concession"
"","","","conceding"
"","","","yielding"
"849232","0.0","prerequisite",""
"996328","0.0","amend",""
"51525","0.0","penetration",""
"1115190","0.0","","tie"
"","","","draw"
"8415774","0.0","bevy",""
"2424652","0.0","","oppress"
"","","","suppress"
"","","","crush"
"2407338","0.0","","fight"
"","","","struggle"
"429060","0.0","","reduce"
"","","","cut down"
"","","","cut back"
"","","","trim"
"","","","trim down"
"","","","trim back"
"","","","cut"
"","","","bring down"
"13791389","0.0","","connection"
"","","","connexion"
"","","","connectedness"
