Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,2sziIUZgdgk,youtube#video,The Surprising Reason We Eat Spicy Food,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,ccy-irqHwII,youtube#video,The Science of Farts,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,0L9V6FJJlEA,youtube#video,Bacteria Outweigh Animals By HOW MUCH?!  Measuring Earth's Biomass,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,1xxsgnEvEfE,youtube#video,What’s The Hottest Hot and Coldest Cold?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,fHs_lniTNvI,youtube#video,How A Possum Turned Into A Wolf (the Story of the Thylacine),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,UdPpxIjvu0I,youtube#video,Did Earth Always Have Water? A Cosmic H2Origin Story���,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,uGutfyDOmu0,youtube#video,The Deadpool Salamander That Can Regrow Limbs,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,#NAME?,youtube#video,Why Do We Itch?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,TqFtWwQCzFI,youtube#video,How Your Memory Works,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,LnnDOMyZjbE,youtube#video,97% of Climate Scientists Really Do Agree,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,_uAJY1mqtw4,youtube#video,Where Did Life Come From? (feat. PBS Space Time and Eons!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,xnrXwpE2pMg,youtube#video,Can You Bend Light Like This?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,XB5h0SBUIUI,youtube#video,Ask Joe Stuff - 2 Million Subscribers Edition!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,GO_Jxa6dWyo,youtube#video,Could You Be Immune To Everything?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,C3dCWxxVhVc,youtube#video,Why Are There As Many Males As Females?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,UXUkameA0r8,youtube#video,How to Defuse the Overpopulation Bomb,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,gwgLYhzAAO0,youtube#video,Tuatara Time! – Face To Face With A Living Fossil! (ft. John Green),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,nGlYwcE98-M,youtube#video,Extreme Microbes Are Eating The Titanic,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,714LTMNJy5M,youtube#video,How to Figure Out the Day of the Week For Any Date Ever,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,3g246c6Bv58,youtube#video,Why Is Blue So Rare In Nature?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,egBZUPVGqj4,youtube#video,Using Atom Bombs To Detect Forged Art,UUH4BNI0-FOK2dMXoFtViWHw
